Index,Age,Player,Pos,Tm,G,GS,eFG%,FT%,TRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,PPG,MPG,Star,Active
518,25.0,Chuma Okeke,SF,ORL,47.0,8.0,46.0,57.099999999999994,1.702127659574468,0.425531914893617,0.19148936170212766,0.14893617021276595,0.3404255319148936,0.40425531914893614,2.276595744680851,9.191489361702128,0,1
125,29.0,Clint Capela,C,ATL,73.0,73.0,57.099999999999994,63.1,10.63013698630137,1.2465753424657535,0.589041095890411,1.452054794520548,1.0136986301369864,2.2465753424657535,11.452054794520548,25.794520547945204,1,1
719,23.0,Coby White,PG,CHI,79.0,78.0,53.400000000000006,83.8,4.531645569620253,5.1265822784810124,0.6708860759493671,0.22784810126582278,2.1012658227848102,2.3544303797468356,19.10126582278481,36.46835443037975,1,1
16,23.0,Cole Anthony,PG,ORL,81.0,0.0,49.6,82.6,3.8395061728395063,2.9135802469135803,0.7901234567901234,0.4567901234567901,1.5555555555555556,2.1604938271604937,11.567901234567902,22.432098765432098,0,1
614,25.0,Collin Sexton,SG,UTA,78.0,51.0,54.900000000000006,85.9,2.628205128205128,4.910256410256411,0.7948717948717948,0.23076923076923078,2.1153846153846154,1.9743589743589745,18.692307692307693,26.602564102564102,0,1
368,24.0,Corey Kispert,SF,WAS,80.0,22.0,60.199999999999996,72.6,2.8125,1.95,0.5125,0.2,1.225,1.7625,13.375,25.8375,0,1
549,23.0,Craig Porter Jr.,PG,CLE,51.0,6.0,53.5,73.2,2.1372549019607843,2.3137254901960786,0.4117647058823529,0.29411764705882354,0.8823529411764706,0.7843137254901961,5.588235294117647,12.72549019607843,0,1
597,27.0,D'Angelo Russell,PG,LAL,76.0,69.0,56.00000000000001,82.8,3.1052631578947367,6.342105263157895,0.9078947368421053,0.47368421052631576,2.0526315789473686,2.0526315789473686,18.013157894736842,32.68421052631579,1,1
35,24.0,Dalano Banton,PG,TOT,54.0,9.0,46.300000000000004,78.3,3.2962962962962963,2.3518518518518516,0.6111111111111112,0.37037037037037035,1.4259259259259258,1.1851851851851851,10.314814814814815,19.38888888888889,0,1
657,21.0,Dalen Terry,SG,CHI,59.0,2.0,49.4,58.099999999999994,1.9152542372881356,1.3728813559322033,0.4576271186440678,0.3050847457627119,0.5423728813559322,1.3728813559322033,3.0508474576271185,11.542372881355933,0,1
392,33.0,Damian Lillard,PG,MIL,73.0,73.0,51.0,92.0,4.383561643835616,6.958904109589041,0.9863013698630136,0.2465753424657534,2.643835616438356,1.8356164383561644,24.315068493150687,35.32876712328767,1,1
223,25.0,Daniel Gafford,C-PF,TOT,74.0,66.0,72.5,67.4,7.594594594594595,1.554054054054054,0.8783783783783784,2.0675675675675675,1.0,3.0675675675675675,11.0,24.527027027027028,1,1
658,31.0,Daniel Theis,C,TOT,60.0,3.0,57.699999999999996,76.0,4.066666666666666,1.0166666666666666,0.35,0.85,0.7,2.1166666666666667,6.266666666666667,16.916666666666668,0,1
226,35.0,Danilo Gallinari,PF-SF,TOT,49.0,0.0,51.6,85.7,2.204081632653061,1.1224489795918366,0.2857142857142857,0.12244897959183673,0.46938775510204084,1.0204081632653061,5.714285714285714,12.857142857142858,0,1
198,28.0,Dante Exum,PG,DAL,55.0,17.0,62.1,77.9,2.709090909090909,2.8545454545454545,0.4,0.09090909090909091,0.8909090909090909,1.5454545454545454,7.781818181818182,19.78181818181818,0,1
604,29.0,Dario Šarić,C,GSW,64.0,9.0,56.2,84.89999999999999,4.421875,2.25,0.484375,0.15625,1.21875,1.75,8.046875,17.15625,0,1
230,24.0,Darius Garland,PG,CLE,57.0,57.0,52.400000000000006,83.39999999999999,2.6666666666666665,6.543859649122807,1.2982456140350878,0.12280701754385964,3.087719298245614,1.6666666666666667,18.035087719298247,33.35087719298246,0,1
585,22.0,David Roddy,PF,TOT,65.0,13.0,46.2,69.1,3.246153846153846,1.2307692307692308,0.4153846153846154,0.16923076923076924,0.8769230769230769,1.1076923076923078,6.538461538461538,18.107692307692307,0,1
470,25.0,Davion Mitchell,PG,SAC,72.0,4.0,54.0,71.39999999999999,1.3194444444444444,1.8611111111111112,0.2361111111111111,0.041666666666666664,0.5972222222222222,1.1805555555555556,5.263888888888889,15.291666666666666,0,1
616,22.0,Day'Ron Sharpe,C,BRK,61.0,1.0,57.8,61.0,6.377049180327869,1.3934426229508197,0.39344262295081966,0.7213114754098361,1.1475409836065573,2.1475409836065573,6.80327868852459,15.098360655737705,0,1
214,26.0,De'Aaron Fox,PG,SAC,74.0,74.0,53.400000000000006,73.8,4.594594594594595,5.648648648648648,2.027027027027027,0.4189189189189189,2.6216216216216215,2.608108108108108,26.56756756756757,35.932432432432435,1,1
320,26.0,De'Andre Hunter,SF,ATL,57.0,37.0,54.7,84.7,3.8947368421052633,1.5263157894736843,0.7017543859649122,0.2807017543859649,1.456140350877193,2.56140350877193,15.631578947368421,29.49122807017544,0,1
164,34.0,DeMar DeRozan,SF,CHI,79.0,79.0,50.7,85.3,4.30379746835443,5.329113924050633,1.139240506329114,0.569620253164557,1.7088607594936709,2.037974683544304,24.0126582278481,37.835443037974684,1,1
694,27.0,Dean Wade,PF,CLE,54.0,32.0,58.4,76.9,4.037037037037037,0.7962962962962963,0.7407407407407407,0.46296296296296297,0.37037037037037035,1.7222222222222223,5.388888888888889,20.51851851851852,0,1
22,25.0,Deandre Ayton,C,POR,55.0,55.0,57.099999999999994,82.3,11.072727272727272,1.6363636363636365,1.018181818181818,0.7636363636363637,1.8,1.981818181818182,16.727272727272727,32.43636363636364,0,1
489,27.0,Dejounte Murray,SG,ATL,78.0,78.0,52.800000000000004,79.4,5.333333333333333,6.435897435897436,1.4230769230769231,0.3076923076923077,2.576923076923077,1.7692307692307692,22.474358974358974,35.67948717948718,1,1
753,31.0,Delon Wright,PG,TOT,47.0,1.0,46.0,82.19999999999999,1.8297872340425532,2.5319148936170213,1.148936170212766,0.23404255319148937,0.2978723404255319,0.6808510638297872,4.468085106382978,15.787234042553191,0,1
21,23.0,Deni Avdija,SF,WAS,75.0,75.0,56.00000000000001,74.0,7.2,3.8133333333333335,0.8,0.48,2.1333333333333333,2.466666666666667,14.693333333333333,30.093333333333334,1,1
608,30.0,Dennis Schröder,PG,TOT,80.0,58.0,50.9,83.6,3.025,6.1,0.7875,0.2125,1.9125,2.05,14.025,31.075,1,1
632,26.0,Dennis Smith Jr.,PG,BRK,56.0,2.0,48.199999999999996,74.1,2.9285714285714284,3.625,1.2142857142857142,0.21428571428571427,1.2142857142857142,2.1607142857142856,6.589285714285714,18.910714285714285,0,1
394,19.0,Dereck Lively II,C,DAL,55.0,42.0,74.7,50.6,6.872727272727273,1.0909090909090908,0.6545454545454545,1.4,0.9090909090909091,2.618181818181818,8.781818181818181,23.527272727272727,0,1
356,26.0,Derrick Jones Jr.,SF,DAL,76.0,66.0,56.599999999999994,71.3,3.289473684210526,0.9868421052631579,0.6973684210526315,0.6710526315789473,0.8552631578947368,1.5921052631578947,8.644736842105264,23.460526315789473,1,1
721,29.0,Derrick White,SG,BOS,73.0,73.0,57.8,90.10000000000001,4.2465753424657535,5.164383561643835,1.0136986301369864,1.1917808219178083,1.5342465753424657,2.0821917808219177,15.164383561643836,32.61643835616438,1,1
34,25.0,Desmond Bane,SG,MEM,42.0,42.0,55.2,87.0,4.404761904761905,5.476190476190476,1.0238095238095237,0.5238095238095238,2.6666666666666665,2.857142857142857,23.738095238095237,34.357142857142854,0,1
83,27.0,Devin Booker,PG,PHO,68.0,68.0,55.00000000000001,88.6,4.529411764705882,6.9411764705882355,0.8970588235294118,0.4117647058823529,2.6176470588235294,3.0294117647058822,27.073529411764707,35.98529411764706,1,1
688,23.0,Devin Vassell,SG,SAS,68.0,62.0,55.00000000000001,80.10000000000001,3.838235294117647,4.073529411764706,1.0735294117647058,0.3382352941176471,1.588235294117647,1.088235294117647,19.455882352941178,33.05882352941177,1,1
99,28.0,Dillon Brooks,SF,HOU,72.0,72.0,51.5,84.39999999999999,3.4166666666666665,1.6527777777777777,0.8888888888888888,0.1388888888888889,1.2222222222222223,3.3472222222222223,12.708333333333334,30.930555555555557,1,1
